method,sample_id,psnr,lpips
DSS warp,session_004_scene_6_tool_3/frame_000095,15.550697326660156,0.48976439237594604
DSS warp,session_004_scene_6_tool_3/frame_000098,15.551589965820312,0.48484963178634644
DSS warp,session_004_scene_6_tool_3/frame_000101,15.562591552734375,0.4772225618362427
DSS warp,session_004_scene_6_tool_3/frame_000104,15.57276725769043,0.4758949875831604
DSS warp,session_004_scene_6_tool_3/frame_000107,15.579584121704102,0.48105478286743164
DSS warp,session_004_scene_6_tool_3/frame_000110,15.55970287322998,0.47957509756088257
DSS warp,session_004_scene_6_tool_3/frame_000113,15.577587127685547,0.47453969717025757
DSS warp,session_004_scene_6_tool_3/frame_000116,15.530451774597168,0.4739832878112793
DSS warp,session_004_scene_6_tool_3/frame_000119,15.550172805786133,0.4790003299713135
DSS warp,session_004_scene_6_tool_3/frame_000122,15.505046844482422,0.48681640625
DSS warp,session_004_scene_6_tool_3/frame_000125,15.49136734008789,0.4899943470954895
DSS warp,session_004_scene_6_tool_3/frame_000128,15.487314224243164,0.49294257164001465
DSS warp,session_004_scene_6_tool_3/frame_000131,15.469722747802734,0.4915700852870941
DSS warp,session_004_scene_6_tool_3/frame_000134,15.450593948364258,0.48836594820022583
DSS warp,session_004_scene_6_tool_3/frame_000137,15.437252044677734,0.48920533061027527
DSS warp,session_004_scene_6_tool_3/frame_000140,15.415438652038574,0.4845753014087677
DSS warp,session_004_scene_6_tool_3/frame_000143,15.376220703125,0.4892771542072296
DSS warp,session_004_scene_6_tool_3/frame_000146,15.36495590209961,0.5015684366226196
DSS warp,session_004_scene_6_tool_3/frame_000149,15.337738037109375,0.5062161684036255
DSS warp,session_004_scene_6_tool_3/frame_000152,15.294814109802246,0.5070008039474487
DSS warp,session_004_scene_6_tool_3/frame_000155,15.282097816467285,0.506723165512085
DSS warp,session_004_scene_6_tool_3/frame_000158,15.302046775817871,0.501291036605835
DSS warp,session_004_scene_6_tool_3/frame_000161,15.305423736572266,0.5022956728935242
DSS warp,session_004_scene_6_tool_3/frame_000164,15.299304962158203,0.5066474080085754
DSS warp,session_004_scene_6_tool_3/frame_000167,15.287504196166992,0.5034999251365662
DSS warp,session_004_scene_6_tool_3/frame_000170,15.299459457397461,0.5095181465148926
DSS warp,session_004_scene_6_tool_3/frame_000173,15.282339096069336,0.5068364143371582
DSS warp,session_004_scene_6_tool_3/frame_000176,15.238290786743164,0.511681079864502
DSS warp,session_004_scene_6_tool_3/frame_000179,15.245448112487793,0.5156761407852173
DSS warp,session_004_scene_6_tool_3/frame_000182,15.17844295501709,0.5153767466545105
DSS warp,session_004_scene_6_tool_3/frame_000185,15.186790466308594,0.5194920301437378
DSS warp,session_004_scene_6_tool_3/frame_000188,15.127693176269531,0.5237085819244385
DSS warp,session_004_scene_6_tool_3/frame_000191,15.107455253601074,0.521543025970459
DSS warp,session_004_scene_6_tool_3/frame_000194,15.126675605773926,0.513881266117096
DSS warp,session_004_scene_6_tool_3/frame_000197,15.144661903381348,0.50893235206604
DSS warp,session_004_scene_6_tool_3/frame_000200,15.161130905151367,0.5144668817520142
DSS warp,session_004_scene_6_tool_3/frame_000203,15.167579650878906,0.5120384693145752
DSS warp,session_004_scene_6_tool_3/frame_000206,15.160362243652344,0.5136690139770508
DSS warp,session_004_scene_6_tool_3/frame_000209,15.158058166503906,0.5134050250053406
DSS warp,session_004_scene_6_tool_3/frame_000212,15.124963760375977,0.5121614933013916
DSS warp,session_004_scene_6_tool_3/frame_000215,15.161163330078125,0.520709216594696
DSS warp,session_004_scene_6_tool_3/frame_000218,15.155476570129395,0.5254692435264587
DSS warp,session_004_scene_6_tool_3/frame_000221,15.150323867797852,0.524715006351471
DSS warp,session_004_scene_6_tool_3/frame_000224,15.140046119689941,0.5258241295814514
DSS warp,session_004_scene_6_tool_3/frame_000227,15.14236831665039,0.5329153537750244
DSS warp,session_004_scene_6_tool_3/frame_000230,15.119566917419434,0.5279136300086975
DSS warp,session_004_scene_6_tool_3/frame_000233,15.116418838500977,0.5227161049842834
DSS warp,session_004_scene_6_tool_3/frame_000236,15.088095664978027,0.5211643576622009
DSS warp,session_004_scene_6_tool_3/frame_000239,15.107536315917969,0.5186222195625305
DSS warp,session_004_scene_6_tool_3/frame_000242,15.04830265045166,0.5244129300117493
DSS warp,session_004_scene_6_tool_3/frame_000245,15.040901184082031,0.5232794284820557
DSS warp,session_004_scene_6_tool_3/frame_000248,15.048550605773926,0.5203334093093872
DSS warp,session_004_scene_6_tool_3/frame_000251,15.037545204162598,0.5236486792564392
DSS warp,session_004_scene_6_tool_3/frame_000254,15.05865478515625,0.5190136432647705
DSS warp,session_004_scene_6_tool_3/frame_000257,15.064300537109375,0.5209989547729492
DSS warp,session_004_scene_6_tool_3/frame_000260,15.053186416625977,0.5237349271774292
DSS warp,session_004_scene_6_tool_3/frame_000263,15.054536819458008,0.5263545513153076
DSS warp,session_004_scene_6_tool_3/frame_000266,15.050158500671387,0.5220239162445068
DSS warp,session_004_scene_6_tool_3/frame_000269,15.039406776428223,0.5212017893791199
